subject,keyword,wav_index,Start,End,Label,Manually_Revised,Manually_Removed,fig_index,RICK_v2.0,RICK_v2.R
1,Backward,1,37720,97720,Test,FALSE,FALSE,0,TRUE,TRUE
1,Backward,2,136840,196840,Val,FALSE,FALSE,1,TRUE,TRUE
1,Backward,3,235520,295480,Test,FALSE,FALSE,2,TRUE,TRUE
1,Backward,4,330760,390760,Test,FALSE,FALSE,3,TRUE,TRUE
1,Backward,5,423080,483080,Train,FALSE,FALSE,4,TRUE,
1,Backward,6,518440,578400,Val,FALSE,FALSE,5,TRUE,TRUE
1,Backward,7,617080,677080,Train,FALSE,FALSE,6,,
1,Backward,8,710720,770720,Val,FALSE,FALSE,7,,
1,Backward,9,807480,867440,Train,FALSE,FALSE,8,,
1,Backward,10,904040,964040,Train,FALSE,FALSE,9,,
1,Backward,11,993280,1053240,Train,FALSE,FALSE,10,TRUE,TRUE
1,Backward,12,1084960,1144920,Test,FALSE,FALSE,11,TRUE,TRUE
1,Backward,13,1174480,1234480,Train,FALSE,FALSE,12,TRUE,TRUE
1,Backward,14,1258720,1318720,Val,FALSE,FALSE,13,TRUE,TRUE
1,Backward,15,1347160,1407120,Train,FALSE,FALSE,14,TRUE,TRUE
1,Backward,16,1440000,1500000,Train,FALSE,FALSE,15,TRUE,TRUE
1,Backward,17,1532800,1592760,Train,FALSE,FALSE,16,TRUE,TRUE
1,Backward,18,1621200,1681200,Train,FALSE,FALSE,17,TRUE,TRUE
1,Backward,19,1812400,1872400,Train,FALSE,FALSE,18,TRUE,TRUE
1,Backward,20,1896720,1956720,Train,FALSE,FALSE,19,TRUE,
1,Backward,21,1987000,2046960,Train,FALSE,FALSE,20,TRUE,
1,Backward,22,2070760,2130760,Train,FALSE,FALSE,21,TRUE,
1,Backward,23,2158880,2218880,Train,FALSE,FALSE,22,TRUE,
1,Backward,24,2258600,2318560,Train,FALSE,FALSE,23,TRUE,
1,Backward,25,2353360,2413320,Train,FALSE,FALSE,24,TRUE,
1,Backward,26,2449800,2509800,Val,FALSE,FALSE,25,TRUE,TRUE
1,Backward,27,2555920,2615880,Train,FALSE,FALSE,26,TRUE,
1,Backward,28,2657360,2717360,Test,FALSE,FALSE,27,TRUE,TRUE
1,Backward,29,2761480,2821480,Train,FALSE,FALSE,28,TRUE,
1,Backward,30,2863480,2923480,Test,FALSE,FALSE,29,TRUE,TRUE
1,Backward,31,2961040,3021040,Train,FALSE,FALSE,30,TRUE,
1,Backward,32,3062680,3122680,Val,FALSE,FALSE,31,TRUE,TRUE
1,Backward,33,3161400,3221400,Val,FALSE,FALSE,32,TRUE,TRUE
1,Backward,34,3260840,3320800,Train,FALSE,FALSE,33,TRUE,
1,Backward,35,3365880,3425840,Train,FALSE,FALSE,34,TRUE,
1,Backward,36,3466120,3526080,Train,FALSE,FALSE,35,TRUE,
1,Backward,37,3565600,3625560,Train,FALSE,FALSE,36,TRUE,
1,Backward,38,3669640,3729600,Train,FALSE,FALSE,37,TRUE,
1,Backward,39,3770000,3829960,Train,FALSE,FALSE,38,TRUE,
1,Backward,40,3887560,3947560,Train,FALSE,FALSE,39,TRUE,
